ID,설명,조건,피처수,MAE,Peak-MAE,Recall,F1,FP,FN,τ,fold표준편차,fold2,fold3,fold4,fold5,MAE_불일치168,MAE_일치168,MAE_불일치24,MAE_휴무일,MAE_가동일,ΔMAE,ΔPeak-MAE,ΔRecall,ΔF1,Δfold표준편차,Δfold2,Δfold3,Δfold4,Δfold5,ΔMAE_불일치168,ΔMAE_일치168,ΔMAE_불일치24,ΔMAE_휴무일,ΔMAE_가동일,ΔMAE_CI_low,ΔMAE_CI_high,p,Δ일치168_CI_low,Δ일치168_CI_high,좋아진 fold 수
A,기준(44개),D2,44,13.027843734245979,21.437098788842757,0.8707482993197279,0.624390243902439,135,19,171.0,13.375035630358854,6.000429310465986,33.007569059031816,8.058936237015615,5.064752736706347,31.226116700941766,7.607882395664398,12.600940569682576,20.719380219426967,10.06498917207361,,,,,,,,,,,,,,,,,,,,
G-과거전력,과거전력 6개 제거,D2,38,9.819303869957285,19.28546244816968,0.8435374149659864,0.6458333333333334,113,23,174.945,8.748164336521157,5.6508984118626175,22.954908328947354,5.795985134745185,4.9729943895736755,15.351675347605514,8.171606883853158,13.4256459495228,10.133706542425998,9.698192906721546,-3.208539864288694,-2.1516363406730754,-0.027210884353741416,0.021443089430894346,-4.626871293837697,-0.3495308986033683,-10.052660730084462,-2.2629511022704305,-0.0917583471326715,-15.874441353336252,0.5637244881887602,0.8247053798402231,-10.585673677000969,-0.3667962653520629,-8.359878469358156,0.7501004678378772,0.163,-0.29582851479967587,1.8930617410199297,4.0
L168,168시간 지연 2개 제거,D2,42,12.70814866182678,18.972765782502602,0.9183673469387755,0.6178489702517163,155,12,170.155,14.582146811818088,5.98934079514895,34.619159229957525,5.646042707618106,4.78228336076263,28.29823024857102,8.064980619445867,13.867873206171645,20.662185068269277,9.644176580316367,-0.3196950724191989,-2.464333006340155,0.04761904761904767,-0.0065412736507227676,1.2071111814592346,-0.01108851531703614,1.6115901709257088,-2.4128935293975093,-0.2824693759437169,-2.927886452370746,0.45709822378146914,1.2669326364890683,-0.05719515115768914,-0.42081259175724206,-1.9106429424334532,1.3496928149982186,0.735,-0.43734723719955365,1.831346401321331,3.0
B+W,지연 6개 + 기상 6개 제거,D2,32,12.454075962938855,21.239013792750235,0.8231292517006803,0.6205128205128205,122,26,172.31,12.793007096146384,5.729295557731813,31.55382926761619,7.785148566834041,4.762456310059605,25.60429759983496,8.537567347193168,14.371085191851364,16.98283623361242,10.709553518716918,-0.5737677713071232,-0.19808499609252195,-0.04761904761904756,-0.003877423389618495,-0.5820285342124691,-0.2711337527341726,-1.4537397914156251,-0.2737876701815738,-0.30229642664674206,-5.621819101106805,0.9296849515287695,1.7701446221687878,-3.7365439858145457,0.6445643466433086,-2.9762455191038764,1.5443331842762884,0.623,-0.04018700554467671,2.1989067271852165,4.0
SA-all,지연 6개를 휴무 인지형으로 교체,D2,44,11.787675798744333,18.740959463525435,0.7755102040816326,0.6246575342465753,104,33,174.265,12.562607599245597,5.8966556439047935,30.67282892818984,4.991141084282254,5.794201479829121,23.426322113688723,8.321357144448589,13.463533384950978,17.16719061423361,9.71543444045983,-1.2401679355016455,-2.696139325317322,-0.09523809523809523,0.00026729034413630615,-0.8124280311132566,-0.10377366656119236,-2.3347401308419755,-3.0677951527333613,0.7294487431227736,-7.799794587253043,0.7134747487841908,0.8625928152684015,-3.5521896051933552,-0.3495547316137788,-5.219413202344589,1.7032583396408263,0.569,0.017263537000909813,1.77861493494108,3.0
SA-168,lag168 2개만 휴무 인지형으로 교체,D2,44,13.107306319604579,17.43626510478247,0.9319727891156463,0.6143497757847534,162,10,167.545,15.351878955237861,5.700571395344098,36.184933631979824,5.218591687655691,5.532159150516073,30.234853080946053,8.006237584065442,13.871184195984585,22.561698952720516,9.465382446583094,0.07946258535860018,-4.000833684060286,0.061224489795918435,-0.010040468117685664,1.9768433248790078,-0.29985791512188786,3.177364572948008,-2.8403445493599246,0.4674064138097265,-0.9912636199957134,0.39835518840104367,1.2702436263020083,1.8423187332935491,-0.5996067254905153,-1.3244670859854721,1.6041034672116896,0.926,-0.2619165702363921,1.4245829694218486,2.0
LOFO-y_avg_lag48,평균전력 48시간 전 제거,D2,43,12.814767616938676,21.647554190047483,0.8163265306122449,0.6138107416879796,124,27,173.135,13.218267959572561,5.7942937085014234,32.58625525007752,7.676542673032985,5.227419420208023,29.972393911175516,7.704740344198022,11.678091496723956,19.964889585797785,10.060471185225838,-0.21307611730730258,0.21045540120472594,-0.05442176870748294,-0.010579502214459469,-0.1567676707862926,-0.20613560196456238,-0.42131380895429515,-0.3823935639826299,0.16266668350167635,-1.2537227897662504,0.09685794853362406,-0.9228490729586198,-0.7544906336291817,-0.0045179868477713825,-0.8703053127606319,0.2898189884956044,0.491,-0.1526886185482518,0.4000120790028802,3.0
LOFO-y_peak_lag24,peak15 24시간 전 제거,D2,43,13.521863322238152,20.398899644978066,0.8095238095238095,0.595,134,28,171.565,14.841262596242972,5.694636698463373,35.77085894492306,7.193688384574928,5.493090320433411,31.90059488398761,8.048156300745037,13.938735125520868,22.044080574781976,10.239022460055157,0.4940195879921738,-1.0381991438646914,-0.061224489795918324,-0.02939024390243905,1.4662269658841183,-0.30579261200261243,2.763289885891247,-0.865247852440687,0.428337583727064,0.6744781830458422,0.44027390508063835,1.3377945558382915,1.3247003553550094,0.1740332879815476,-0.5076657121461248,1.7594341478549687,0.379,-0.23967837372877154,1.5579062004406072,2.0
LOFO-wind,풍속 제거,D2,43,12.820416229948421,21.340826021972457,0.8435374149659864,0.6019417475728155,141,23,172.065,13.452420553950082,5.728311414491951,32.95021202724068,7.5158806449544935,5.122465931058885,30.085764470824945,7.678306309190984,12.064052802385902,20.29699947780601,9.940363742639038,-0.20742750429755752,-0.09627276687029962,-0.027210884353741416,-0.022448496329623535,0.07738492359122873,-0.27211789597403513,-0.057357031791134716,-0.5430555920611218,0.05771319435253819,-1.1403522301168216,0.07042391352658584,-0.5368877672966743,-0.4223807416209553,-0.12462542943457144,-0.7172181375951302,0.22418630871135173,0.37,-0.2022978593564954,0.39656195864478877,3.0
