날짜,fold,휴무일,불일치168,불일치24,AE[A],AE[G-과거전력],AE[L168],AE[SA-all],AE[SA-168]
2021-07-07,2,False,False,False,3.954305523787104,6.038505091110022,4.442927702252103,4.457449537297818,4.812880337413569
2021-07-08,2,False,False,False,6.443340930569924,7.162068956274015,5.949957335586267,7.018930075393116,6.364046591534145
2021-07-09,2,False,False,False,6.62326237940383,6.555207791997887,6.215839109356246,6.580076553314808,6.89264970301937
2021-07-10,2,False,False,False,6.188470418523199,6.6928619555816455,6.464062912122519,5.760880678762117,6.586197700652742
2021-07-11,2,True,False,True,0.9102354899332176,0.902806557694686,0.9669087517018381,0.8147975930915403,0.936599200804168
2021-07-12,2,False,False,True,4.263252671022611,4.067111963528361,4.310888799731866,5.167275039080539,4.526393652131829
2021-07-14,2,False,False,False,14.817628767110671,8.036233381051622,9.713650599037644,11.079981222677395,15.99214836823109
2021-07-16,2,False,False,False,10.302457526867201,4.995931793879749,6.851139026507799,6.5242061876135,10.734142362715964
2021-07-17,2,False,False,False,5.343771864184361,15.279402551256155,17.527321932686547,4.656633468443226,4.8784779899946225
2021-07-18,2,True,False,True,0.7573761217611454,0.9086981150250512,0.8149646724312251,0.7615013821179134,0.7790921022468136
2021-07-19,2,False,False,True,7.091416408044174,6.563013660306754,7.369821861531318,6.3848617206254525,8.234691073379997
2021-07-20,2,False,False,False,18.253629573798822,8.375359944868428,9.049651931373722,22.83726306778361,17.024093093806183
2021-07-21,3,False,False,False,10.254702962279106,10.081510047774577,11.297217983296983,10.369108575388791,11.248809116262
2021-07-22,3,False,False,False,16.79116321576431,9.07645148472588,9.373158323233534,15.057819982322961,17.937238388441212
2021-07-23,3,False,False,False,8.88515364260057,8.310165136883425,9.061634984785236,8.73710594842037,8.686282927127941
2021-07-24,3,False,False,False,4.900384945383543,84.89353649001467,82.83122154736742,15.741038564329417,11.016768492710908
2021-07-25,3,True,False,True,2.220710682539533,2.2333415685340285,2.102452980211229,2.1000505196177643,2.148870285651507
2021-07-26,3,False,False,True,6.482357961001792,6.644872214653766,7.724967036304423,6.931450891803375,6.800428381226791
2021-07-27,3,False,False,False,13.220496831077236,10.790943807720687,14.250607192811264,13.121636825613399,13.374602469803058
2021-07-28,3,False,False,False,15.172218533829879,15.457944271722058,18.46968705843836,15.950381932303047,15.177584137068083
2021-07-29,3,False,False,False,10.925065099790649,11.61062332037685,12.713805437424375,9.957900268390256,10.404109323392767
2021-07-30,3,False,False,False,13.37711048177939,14.747326269865079,15.73208426991697,13.231872116537955,12.369123823514462
2021-07-31,3,True,True,True,24.578029952658152,22.833385218682427,13.000632158459418,98.92160268129619,110.23950528474866
2021-08-01,3,True,False,False,0.9520920513760425,1.1978055387870488,1.2564757171710854,1.0178995244366205,1.1440608099647789
2021-08-02,3,True,True,False,86.0899754567755,1.046872781022838,82.72584625306358,14.247577267359134,101.49227667876816
2021-08-03,3,True,True,False,114.26201995913152,1.0062836229145795,38.01971770701689,83.44811973053918,99.96613395151623
2021-08-04,4,True,True,False,0.62481761328664,0.6107917690798778,0.6065494116893907,0.6930596223060478,0.6174037264638604
2021-08-05,4,True,True,False,0.8346529196376435,0.6036701305433239,0.5488789983746596,0.6566933581274754,0.5699655986147393
2021-08-06,4,True,True,False,1.127074622713313,0.9488872885128882,1.0268150958918094,1.2540089573758326,1.1277309614159747
2021-08-07,4,True,False,False,0.6991750990632474,1.1571248011326456,0.862717014372926,0.7647070586250204,0.8671097317081414
2021-08-08,4,True,False,False,0.48529997377499584,1.0000453895968504,0.9594523054290257,0.5498819540671672,0.6241002500329463
2021-08-09,4,False,True,True,25.659836509506714,14.520312515639546,15.980420665477842,10.9856996887099,12.461219321984258
2021-08-10,4,False,True,False,9.598358040286454,7.439490345774254,7.536687964990844,8.101316420354717,8.851424137349431
2021-08-11,4,False,True,False,12.351864534735826,9.582908726479234,9.028945658104915,7.997419006620597,7.581876868713054
2021-08-12,4,False,True,False,8.942306649454409,6.382297537003265,6.552256725141793,5.179479068368046,5.054021182222809
2021-08-13,4,False,True,False,9.30716738618432,6.570536681838398,5.47972791008737,5.364782992016931,5.419828896820945
2021-08-14,4,False,True,False,5.177093722386815,6.2661304622119225,6.062585482665779,3.2239714005111453,5.734072507962355
2021-08-15,4,True,False,True,0.8513672943041223,1.0051289641639227,0.9404443488728448,1.093623589486991,1.107716948598864
2021-08-16,4,False,False,True,17.495862133155573,17.582548905072453,17.89267578373563,20.019698581303967,16.734512195285607
2021-08-17,4,False,False,False,7.102219976925453,7.371019659257992,7.005745825618028,7.756884622773722,5.88599418419907
2021-08-18,5,False,False,False,6.929855603274466,6.4500798567881645,6.271377875260046,7.085614132412286,7.6781038300382685
2021-08-19,5,False,False,False,4.88314541880826,3.1236236055649886,5.084727122429099,3.9815012105617993,5.582146870773876
2021-08-20,5,False,False,False,5.107308721896188,4.794183627180055,4.7142228290911925,5.033582670777504,5.071106427527132
2021-08-21,5,False,False,False,3.5003257884876255,2.215503816985185,3.810675115582187,3.3133529511031856,3.354659618344035
2021-08-22,5,True,False,True,0.8619429678904872,0.8376744461168896,0.8018363069622517,0.9612455640791735,0.8945684216127266
2021-08-23,5,False,False,True,8.40489614924829,4.738920132076853,5.025770352775939,9.765936220429277,10.158689102638476
2021-08-24,5,False,False,False,4.761133693928106,3.915037135024873,3.7199871762218617,6.3591759784010575,6.305431592487469
2021-08-25,5,False,False,False,5.138575873015319,3.953701889531898,4.231468626227831,4.801227719106236,4.908726274297124
2021-08-26,5,False,False,False,6.147397056226983,7.054698947942936,6.153204234753311,5.760208269725257,7.840816296738158
2021-08-27,5,False,False,False,6.201456220724644,7.445901231876459,5.959091726828123,6.145378368242381,5.206092813211769
2021-08-28,5,False,False,False,9.848084058787313,10.118570691094376,9.998966388213264,9.864522554880326,10.434677568073434
2021-08-29,5,True,False,True,2.168040368447351,2.252940577494794,2.5272417774319647,1.9608303466558679,1.8585412910852488
2021-08-30,5,False,False,True,6.745668977181205,4.881463777366829,5.250754390373226,5.938340083835501,6.264096044892145
2021-08-31,5,False,False,False,6.003082568749597,4.942343046974302,6.941708412864891,6.435920543682475,8.440339923618609
