ID,설명,조건,피처수,MAE,Peak-MAE,Recall,F1,FP,FN,τ,fold표준편차,fold2,fold3,fold4,fold5,MAE_불일치168,MAE_일치168,MAE_불일치24,MAE_휴무일,MAE_가동일,ΔMAE,ΔPeak-MAE,ΔRecall,ΔF1,Δfold표준편차,Δfold2,Δfold3,Δfold4,Δfold5,ΔMAE_불일치168,ΔMAE_일치168,ΔMAE_불일치24,ΔMAE_휴무일,ΔMAE_가동일,ΔMAE_CI_low,ΔMAE_CI_high,p,Δ일치168_CI_low,Δ일치168_CI_high,좋아진 fold 수,c1 CI가 0 미포함(개선),c2 정상 fold 2·5 악화 ≤ 잡음,c3 일치일 악화 ≤ 잡음,c4 Recall·Peak-MAE,c1~c4 통과,LOFO 표시(잡음 초과 개선·3/4 fold)
G-과거전력,과거전력 6개 제거,D1,38,7.875744657834909,18.255710981399574,0.8589743589743589,0.694300518134715,96,22,174.595,4.381416579882268,6.298100146881199,14.280790126691278,5.788635226879041,4.752030270437108,6.484297256641879,8.280120895517648,6.567848924431108,2.579680848455019,9.863192259419407,-3.130909288238705,-5.617052259181005,0.012820512820512775,0.05196475171135739,-4.079186965517543,-0.7809954927026563,-9.155744285879239,-1.3725859499363526,-0.7585809358147264,-18.39513585725456,1.3051121566417887,-1.370413858423488,-13.679055569040994,0.8274810902559189,-9.183789716515902,2.3442892446783596,0.304,-1.3756018913904968,5.6278296307864695,4.0,False,True,False,True,False,False
G-이동통계,이동통계 10개 제거,D1,34,10.597001761182478,23.39770574896056,0.8076923076923077,0.63,118,30,173.66,7.574933907071753,7.008341438983119,21.66860672429969,7.625249222265812,5.305414796486656,24.048277490706003,6.687852003258386,5.968940352621133,14.898441238905301,8.982805656101547,-0.40965218489113653,-0.4750574916200172,-0.038461538461538436,-0.012335766423357652,-0.885669638328058,-0.070754200600736,-1.7679276882708272,0.4640280454504184,-0.20519640976517817,-0.8311556231904369,-0.2871567356174731,-1.969322430233463,-1.3602951785907127,-0.05290551306194047,-1.4319333396259462,0.39297116074770455,0.396,-0.6169184625102432,0.028243239524608253,3.0,False,True,True,False,False,False
G-시간정보,시간정보 10개 제거,D1,34,11.680030573692974,25.681343503974052,0.8141025641025641,0.6135265700483091,131,29,171.96499999999997,7.907821920581512,7.998811472668134,23.21428975802009,8.692940631510565,6.000852629287124,27.05427669172966,7.212035738178782,8.693740975553409,16.296722994166263,9.947529869665905,0.6733766276193602,1.8085802633934733,-0.03205128205128205,-0.02880919637504853,-0.5527816248182997,0.919715833084279,-0.2222446545504262,1.5317194546951711,0.4902414230352896,2.1748435778332222,0.23702699930292326,0.7554781926988126,0.037986576670249406,0.9118187005024172,0.09261574753347414,1.3003358543551473,0.022,-0.211836091790799,0.7559679123433658,1.0,False,False,False,False,False,False
G-공정상태,공정상태 8개 제거,D1,36,11.15786986183299,23.79208303170505,0.8141025641025641,0.6479591836734694,109,29,175.12,8.823225991406407,6.764641730243183,24.099461820104437,7.46138184169615,5.386380139841257,25.757220288955143,6.915071755868125,8.391515983815426,16.603382547935244,9.114338757048381,0.15121591575937643,-0.08068020887552763,-0.03205128205128205,0.0056234172501117285,0.3626224460065952,-0.3144539093406715,0.6629274075339211,0.30016066488075666,-0.12423106641057746,0.8777871750587032,-0.05993698300773431,0.45325320096082944,0.3446461304392301,0.07862758788489366,-0.13655533933627406,0.5224461458601459,0.381,-0.31290435522512244,0.27368722592667016,2.0,False,True,True,False,False,False
G-생산정보,생산정보 4개 제거 (게이트도 교체),D1,40,12.183439080386487,30.165742553624384,0.8461538461538461,0.631578947368421,130,24,170.875,7.107065267320488,7.441125754115098,21.541265652576254,12.976608480734997,5.7729425010551365,29.18923303485113,7.241291089583441,10.860726640034734,14.203904539557437,11.42522139732126,1.1767851343128726,6.292979313043805,0.0,-0.01075681905493664,-1.3535382780793235,0.362030114531243,-1.8952687599942628,5.815387303919604,0.2623312948033023,4.309799920954692,0.26628235070758155,2.922463857180138,-2.054831877938577,2.389510228157773,-0.8417731092674599,3.7700637140850093,0.372,0.036505867934180994,0.5125417988568918,1.0,False,False,False,False,False,False
G-기상정보,기상정보 6개 제거,D1,38,10.985440752761706,24.841659256854005,0.8525641025641025,0.6567901234567901,116,23,173.13,8.759188196227013,7.204609995662825,23.83589036319898,6.986525087377601,5.075609569396853,23.797259837856334,7.262127032774568,8.285087409378969,15.866232159000269,9.153831934721643,-0.021213193311908185,0.9688960162734261,0.0064102564102563875,0.014454357033432452,0.29858465082720187,0.12551435607896977,0.39935595062846474,-0.17469608943779313,-0.43500163685498094,-1.0821732760401055,0.28711829389870935,0.3468246265243726,-0.39250425849574455,0.11812076555815487,-0.3829517669442568,0.36845563263337333,0.879,-0.05638644567058385,0.6632509191630458,2.0,False,True,False,False,False,False
L24,24시간 지연 2개 제거,D1,42,10.435942093921138,21.068567701107387,0.7756410256410257,0.6173469387755102,115,35,173.57999999999998,8.315960797207431,6.389861958635766,22.689913151573087,6.305613439548967,5.532265703514186,23.698818918796306,6.581543985380221,7.174037476959718,16.1595652898885,8.288044787047363,-0.5707118521524759,-2.8041955394731914,-0.07051282051282048,-0.02498882764784749,-0.1446427481923802,-0.6892336809480888,-0.7466212609974292,-0.8556077372664266,0.021654497262352024,-1.1806141951001337,-0.39346475349563814,-0.764225305894878,-0.09917112760751223,-0.7476663821161242,-1.0559886288682618,-0.14257512902492814,0.005,-0.8698139176946059,0.03158064700757155,3.0,True,True,True,False,False,False
L48,48시간 지연 2개 제거,D1,42,7.55955090812503,25.065477163284022,0.7628205128205128,0.6485013623978202,92,37,174.89,1.8010712962186466,7.2665338247374605,9.848740948192747,7.515002031011447,5.459831438730136,9.305542903383822,7.052138501833875,7.752174713883697,2.862693711483231,9.322134952886305,-3.447103037948584,1.1927139227034438,-0.08333333333333337,0.006165595974462534,-6.659532249181165,0.18743818515360555,-13.58779346437777,0.353780854196053,-0.050779767521698105,-15.573890210512618,0.0771297629580161,-0.18608806897089902,-13.396042706012782,0.2864237837228174,-9.160128240445593,0.38306042400761436,0.255,-0.20939488671864537,0.37997022790410884,2.0,False,True,True,False,False,False
L168,168시간 지연 2개 제거,D1,42,10.237126218562844,22.242290620709273,0.8333333333333334,0.6532663316582915,112,26,175.315,8.499921734097974,6.639761219526591,22.754250617821487,5.7488502278894895,5.0281859503427375,15.547422002580355,8.693871742481065,6.16995402373007,10.040294396636595,10.310991063565277,-0.7695277275107699,-1.6304726198713055,-0.012820512820512775,0.010930565234933853,0.039318188698162615,-0.4393344200572642,-0.6822837947490292,-1.4123709489259042,-0.4824252559090967,-9.332011111316085,1.7188630036052057,-1.7683087591245261,-6.218442020859419,1.2752798944017893,-4.596150351283336,3.428449238931911,0.684,-0.8746480523946417,5.875053400406629,4.0,False,True,False,False,False,False
B+W,지연 6개 + 기상 6개 제거,D1,32,8.392915446453165,19.11168778064825,0.8076923076923077,0.6810810810810811,88,30,176.62,4.658757333069198,7.522000084034472,15.096350848966708,5.867332795995928,4.778699458006969,8.374220162810003,8.398348586401934,8.63857418019416,4.641563159289313,9.800680982173793,-2.6137384996204496,-4.761075459932329,-0.038461538461538436,0.03874531465772346,-3.801846212330614,0.44290444445061716,-8.340183563603809,-1.2938883808194657,-0.7319117482448654,-16.505212951086435,1.4233398475260746,0.700311397339564,-11.617173258206702,0.7649698130103051,-8.69611541915686,2.49489790806191,0.38,-0.9784367012052015,4.824483708930675,3.0,False,False,False,False,False,False
