ID,수정안,조건,OOF MAE,Peak-MAE,Recall,F1,FP,FN,τ,fold 표준편차,fold2,fold3,fold4,fold5,정상일 MAE,휴무일 MAE,이틀 제외 MAE,이틀 MAE,ΔOOF MAE,ΔPeak-MAE,ΔRecall,ΔF1,Δfold 표준편차,Δfold2,Δfold3,Δfold4,Δfold5,Δ정상일 MAE,Δ휴무일 MAE,Δ이틀 제외 MAE,Δ이틀 MAE,ΔMAE CI 하한,ΔMAE CI 상한,p
A,현행,D2,13.027843734245979,21.437098788842757,0.8707482993197279,0.624390243902439,135,19,171.0,13.375035630358854,6.000429310465986,33.007569059031816,8.058936237015615,5.064752736706347,7.607882395664398,20.719380219426967,9.546986356593635,100.55690320979552,,,,,,,,,,,,,,,,
R,계획 휴무 강제,D2,7.546801606660589,21.437098788842757,0.8707482993197279,0.6580976863753213,114,19,170.73000000000002,2.6117892475656657,6.000429310465986,10.960428449673918,8.058936237015615,5.064752736706347,7.607882395664398,1.0096155485969813,7.8124604943704865,0.8665874927887494,-5.48104212758539,0.0,0.0,0.033707442472882265,-10.763246382793188,0.0,-22.047140609357896,0.0,0.0,0.0,-19.709764670829983,-1.7345258622231485,-99.69031571700677,-11.776819588308179,-0.0,0.108
G,게이트 입력 제한(22개),D2,6.921755535577169,21.437098788842757,0.8707482993197279,0.6597938144329897,113,19,170.685,2.1418814550930003,5.674079949935178,10.029618028906752,6.5870425395196675,5.361069132509407,6.183419974488693,4.342873766616086,6.386139197132433,20.39027471271874,-6.106088198668809,0.0,0.0,0.035403570530550654,-11.233154175265852,-0.32634936053080743,-22.977951030125062,-1.4718936974959478,0.2963163958030597,-1.424462421175705,-16.37650645281088,-3.160847159461202,-80.16662849707679,-12.17916786870635,-1.4155584725142554,0.001
RG,R + G,D2,5.994817592877036,21.437098788842757,0.9047619047619048,0.6600496277915633,123,14,168.505,0.5527970912305676,5.674079949935178,6.422429338979632,6.4743513287119105,5.361069132509407,6.144263566183205,1.0096155485969813,6.1987571494671245,0.8665874927887494,-7.033026141368943,0.0,0.03401360544217691,0.03565938388912426,-12.822238539128286,-0.32634936053080743,-26.585139720052183,-1.5845849083037047,0.2963163958030597,-1.4636188294811934,-19.709764670829983,-3.3482292071265105,-99.69031571700677,-13.957936782401267,-1.4932388863166277,0.001
