ID,범위,행 수,현행 MAE,변형 MAE,Δ
R,비휴무 행 전체,930,9.035711169163488,9.035711169163488,0.0
R,비휴무 fold2,240,8.32815360633119,8.32815360633119,0.0
R,비휴무 fold3,216,11.112072630389607,11.112072630389607,0.0
R,비휴무 fold4,192,11.954338619079445,11.954338619079445,0.0
R,비휴무 fold5,282,6.0603326906920145,6.0603326906920145,0.0
G,비휴무 행 전체,930,9.035711169163488,8.989199138053205,-0.04651203111028224
G,비휴무 fold2,240,8.32815360633119,7.93046994103948,-0.3976836652917104
G,비휴무 fold3,216,11.112072630389607,10.952237084528123,-0.1598355458614833
G,비휴무 fold4,192,11.954338619079445,12.099069035543915,0.14473041646446916
G,비휴무 fold5,282,6.0603326906920145,6.2692835016223425,0.20895081093032797
RG,비휴무 행 전체,930,9.035711169163488,8.989199138053205,-0.04651203111028224
RG,비휴무 fold2,240,8.32815360633119,7.93046994103948,-0.3976836652917104
RG,비휴무 fold3,216,11.112072630389607,10.952237084528123,-0.1598355458614833
RG,비휴무 fold4,192,11.954338619079445,12.099069035543915,0.14473041646446916
RG,비휴무 fold5,282,6.0603326906920145,6.2692835016223425,0.20895081093032797
