ID,날짜,실측 일평균,예측 일평균,MAE,실제 피크 시간,경보 시간(≥τ_A),적중 경보
A,2021-07-13,136.08333333333334,135.0402249515242,29.94642755063479,4,8,0
A,2021-07-15,135.66666666666666,140.31527805437946,27.380678241470694,5,8,1
D,2021-07-13,136.08333333333334,21.921010180519016,114.16232315281432,4,0,0
D,2021-07-15,135.66666666666666,22.051662092845646,113.61500457382101,5,0,0
