ID,날짜,실측 일평균,예측 일평균,MAE,실제 피크 시간(≥θ),경보 시간(≥τ_A),적중 경보,08~17시 가동 배정
A,2021-07-13,136.08333333333334,135.0402249515242,29.94642755063479,4,8,0,10
A,2021-07-15,135.66666666666666,140.31527805437946,27.380678241470694,5,8,1,10
R,2021-07-13,136.08333333333334,22.555557927944125,113.5277754053892,4,0,0,0
R,2021-07-15,135.66666666666666,22.364906012299485,113.30176065436719,5,0,0,0
G,2021-07-13,136.08333333333334,22.555557927944125,113.5277754053892,4,0,0,0
G,2021-07-15,135.66666666666666,24.050360812681888,111.61630585398478,5,0,0,0
RG,2021-07-13,136.08333333333334,22.555557927944125,113.5277754053892,4,0,0,0
RG,2021-07-15,135.66666666666666,22.364906012299485,113.30176065436719,5,0,0,0
