ID,수정안,조건,OOF MAE,Peak-MAE,Recall,F1,FP,FN,τ,fold 표준편차,fold2,fold3,fold4,fold5,정상일 MAE,휴무일 MAE,이틀 제외 MAE,이틀 MAE,ΔOOF MAE,ΔPeak-MAE,ΔRecall,ΔF1,Δfold 표준편차,Δfold2,Δfold3,Δfold4,Δfold5,Δ정상일 MAE,Δ휴무일 MAE,Δ이틀 제외 MAE,Δ이틀 MAE,ΔMAE CI 하한,ΔMAE CI 상한,p,① CI가 0 미포함,② 정상 fold 악화 ≤ 잡음,③ 정상일 악화 ≤ 잡음,④ Recall·Peak-MAE,⑤ 이틀 제외 악화 ≤ 잡음,D2 OOF MAE,ΔD2 OOF MAE,⑥ D2 개선,모두 통과
A,현행,D1,11.006653946073614,23.87276324058058,0.8461538461538461,0.6423357664233577,123,24,172.23000000000002,8.460603545399811,7.079095639583855,23.436534412570516,7.161221176815394,5.510611206251834,6.975008738875859,16.258736417496014,7.529701467949946,100.17599770795351,,,,,,,,,,,,,,,,,,,,,,13.027843734245979,0.0,,
R,계획 휴무 강제,D1,6.835436498456135,23.87276324058058,0.8333333333333334,0.6649616368286445,105,26,172.81,0.9024722380287725,7.079095639583855,7.558596568812318,7.161221176815394,5.510611206251834,6.975008738875859,0.9722403845368325,7.070626316047367,0.8037976348143205,-4.1712174476174795,0.0,-0.012820512820512775,0.022625870405286852,-7.558131307371039,0.0,-15.877937843758199,0.0,0.0,0.0,-15.286496032959182,-0.45907515190257886,-99.3722000731392,-9.944587955942035,-0.0,0.094,False,True,True,False,True,7.546801606660589,-5.48104212758539,True,False
G,게이트 입력 제한(22개),D1,6.891468706461149,23.87276324058058,0.8333333333333334,0.6649616368286445,105,26,172.81,0.8936030631596409,6.7476925851740965,7.797873071981647,7.2439242719379475,5.695326343187109,6.959243372321481,1.301528014826158,7.066719916959174,2.397005370563891,-4.115185239612465,0.0,-0.012820512820512775,0.022625870405286852,-7.567000482240171,-0.33140305440975837,-15.638661340588868,0.0827030951225538,0.18471513693527442,-0.01576536655437799,-14.957208402669856,-0.4629815509907713,-97.77899233738962,-9.804566685137933,-0.04933794083280653,0.036,True,True,True,False,True,6.921755535577169,-6.106088198668809,True,False
RG,R + G,D1,6.801616178727784,23.87276324058058,0.8333333333333334,0.6649616368286445,105,26,172.81,0.785158853513822,6.7476925851740965,7.455845146472792,7.2439242719379475,5.695326343187109,6.959243372321481,0.9722403845368325,7.035487251114338,0.8037976348143205,-4.20503776734583,0.0,-0.012820512820512775,0.022625870405286852,-7.675444691885989,-0.33140305440975837,-15.980689266097723,0.0827030951225538,0.18471513693527442,-0.01576536655437799,-15.286496032959182,-0.4942142168356076,-99.3722000731392,-9.983255744202028,-0.04933794083280653,0.036,True,True,True,False,True,5.994817592877036,-7.033026141368943,True,False
