ID,기준 τ,τ,TP,FN,FP,Recall,Precision,F1,fold2 τ,fold3 τ,fold4 τ,fold5 τ
A,τ_A 고정,172.23000000000002,132,24,123,0.8461538461538461,0.5176470588235295,0.6423357664233577,,,,
A,자기 τ,172.23000000000002,132,24,123,0.8461538461538461,0.5176470588235295,0.6423357664233577,170.99,170.38,173.47,182.8
R,τ_A 고정,172.23000000000002,132,24,107,0.8461538461538461,0.5523012552301255,0.6683544303797468,,,,
R,자기 τ,172.81,130,26,105,0.8333333333333334,0.5531914893617021,0.6649616368286445,170.99,172.15,173.47,182.8
G,τ_A 고정,172.23000000000002,132,24,107,0.8461538461538461,0.5523012552301255,0.6683544303797468,,,,
G,자기 τ,172.81,130,26,105,0.8333333333333334,0.5531914893617021,0.6649616368286445,170.99,172.15,173.47,182.8
RG,τ_A 고정,172.23000000000002,132,24,107,0.8461538461538461,0.5523012552301255,0.6683544303797468,,,,
RG,자기 τ,172.81,130,26,105,0.8333333333333334,0.5531914893617021,0.6649616368286445,170.99,172.15,173.47,182.8
