,모델,Recall,Precision
138,피크 직접분류,0.9935897435897436,0.13584574934268187
139,피크 직접분류,0.9935897435897436,0.13596491228070176
140,피크 직접분류,0.9935897435897436,0.1360842844600527
141,피크 직접분류,0.9935897435897436,0.13620386643233742
142,피크 직접분류,0.9935897435897436,0.1363236587510994
143,피크 직접분류,0.9935897435897436,0.136443661971831
144,피크 직접분류,0.9935897435897436,0.13656387665198239
145,피크 직접분류,0.9935897435897436,0.13668430335097
146,피크 직접분류,0.9935897435897436,0.13680494263018536
147,피크 직접분류,0.9935897435897436,0.13692579505300354
148,피크 직접분류,0.9935897435897436,0.13704686118479223
149,피크 직접분류,0.9935897435897436,0.13716814159292035
150,피크 직접분류,0.9935897435897436,0.13728963684676704
151,피크 직접분류,0.9935897435897436,0.1374113475177305
152,피크 직접분류,0.9935897435897436,0.13753327417923691
153,피크 직접분류,0.9935897435897436,0.13765541740674955
154,피크 직접분류,0.9935897435897436,0.13777777777777778
155,피크 직접분류,0.9935897435897436,0.13790035587188612
156,피크 직접분류,0.9935897435897436,0.13802315227070347
157,피크 직접분류,0.9935897435897436,0.13814616755793227
158,피크 직접분류,0.9935897435897436,0.13826940231935772
159,피크 직접분류,0.9935897435897436,0.13839285714285715
160,피크 직접분류,0.9935897435897436,0.1385165326184093
161,피크 직접분류,0.9935897435897436,0.13864042933810375
162,피크 직접분류,0.9935897435897436,0.1387645478961504
163,피크 직접분류,0.9935897435897436,0.1388888888888889
164,피크 직접분류,0.9935897435897436,0.13901345291479822
165,피크 직접분류,0.9935897435897436,0.13913824057450627
166,피크 직접분류,0.9935897435897436,0.13926325247079965
167,피크 직접분류,0.9935897435897436,0.1393884892086331
168,피크 직접분류,0.9935897435897436,0.1395139513951395
169,피크 직접분류,0.9935897435897436,0.13963963963963963
170,피크 직접분류,0.9935897435897436,0.13976555455365194
171,피크 직접분류,0.9935897435897436,0.13989169675090252
172,피크 직접분류,0.9935897435897436,0.14001806684733514
173,피크 직접분류,0.9935897435897436,0.14014466546112117
174,피크 직접분류,0.9935897435897436,0.14027149321266968
175,피크 직접분류,0.9935897435897436,0.1403985507246377
176,피크 직접분류,0.9935897435897436,0.14052583862194015
177,피크 직접분류,0.9935897435897436,0.14065335753176045
178,피크 직접분류,0.9935897435897436,0.1407811080835604
179,피크 직접분류,0.9935897435897436,0.1409090909090909
180,피크 직접분류,0.9935897435897436,0.1410373066424022
181,피크 직접분류,0.9935897435897436,0.14116575591985428
182,피크 직접분류,0.9935897435897436,0.14129443938012762
183,피크 직접분류,0.9935897435897436,0.14142335766423358
184,피크 직접분류,0.9935897435897436,0.1415525114155251
185,피크 직접분류,0.9935897435897436,0.1416819012797075
186,피크 직접분류,0.9935897435897436,0.14181152790484905
