,구분,예측확률,실제빈도
0,보정 전,0.004116261215556937,0.06294964028776978
1,보정 전,0.13812114767833214,0.38461538461538464
2,보정 전,0.25028650395335195,0.5
3,보정 전,0.35851933156624266,0.3125
4,보정 전,0.450377183962856,0.6666666666666666
5,보정 전,0.550752451452432,0.6363636363636364
6,보정 전,0.6374005431644243,0.6
7,보정 전,0.7467109064383779,0.375
8,보정 전,0.8509166777079958,0.47368421052631576
9,보정 전,0.960011564224625,0.625
10,보정 후,0.024125452352231604,0.024125452352231604
11,보정 후,0.16326530612244897,0.16326530612244897
12,보정 후,0.25,0.25
13,보정 후,0.4195804195804195,0.4195804195804196
14,보정 후,0.5619047619047618,0.5619047619047619
15,보정 후,1.0,1.0
