변형,OOF MAE,상위2일 제외 MAE,Δ상위2일 제외,토요일 MAE,Δ토요일,ΔRecall,①~④ 통과
최종모델 (44개),11.006654,7.529701,0.0,7.454621,0.0,0.0,
과거전력 6개 제거,7.875745,8.142812,0.613111,18.958306,11.503685,0.012821,False
48시간 전 2개 제거,7.559551,7.757719,0.228018,7.504024,0.049403,-0.083333,False
168시간 전 2개 제거,10.237126,8.282202,0.752501,17.813992,10.359371,-0.012821,False
24시간 전 2개 제거,10.435942,6.959052,-0.57065,7.079586,-0.375036,-0.070513,False
휴무 인지형 지연변수 (6개 교체),10.105907,8.595255,1.065553,18.036204,10.581582,-0.076923,False
