날짜,요일,fold,휴무일,실측 일평균,예측 일평균,08~17시 배정 레짐,게이트 휴무일 변수 분기 수
2021-08-03,화,3,True,21.625,135.88701995913152,2:10시간,188
2021-08-02,월,3,True,21.458333333333332,107.3888561409297,2:10시간,188
2021-07-31,토,3,True,21.541666666666668,46.02311489445831,0:10시간,188
2021-08-09,월,4,False,107.66666666666667,87.159681858316,2:10시간,248
