모델,예측지평,MAE,RMSE,sMAPE,Peak-MAE,실질 피처 수
Seasonal Naive,Day-ahead,6.541666666666667,10.050764007917863,8.090938387330903,9.5,
Random Forest (보정),Day-ahead,6.038776791030402,9.416123565228895,7.476869090772699,14.275714549170488,44.0
Simple RNN (보정),Day-ahead,10.328098944255284,13.579292338207706,23.31609719513419,5.0377044677734375,
