ID,변형,조건,피처수,OOF MAE,Peak-MAE,Recall,F1,FP,FN,fold 표준편차,fold2,fold3,fold4,fold5,정상일 MAE,토요일 MAE,상위2일 제외 MAE,ΔOOF MAE,ΔPeak-MAE,ΔRecall,ΔF1,Δfold 표준편차,Δfold2,Δfold3,Δfold4,Δfold5,Δ정상일 MAE,Δ토요일 MAE,Δ상위2일 제외 MAE,ΔMAE CI 하한,ΔMAE CI 상한,p,개선 fold 수,① CI가 0 미포함,② 정상 fold 악화 ≤ 잡음,③ 정상일 악화 ≤ 잡음,④ Recall·Peak-MAE,①~④ 통과,구분,잡음 초과 개선·3/4 fold
LOFO-is_state_switch,가동 전환일 제거,D1,43,10.847651,24.824665,0.826923,0.641791,117,27,8.510195,6.803471,23.35051,7.026504,5.35445,6.898137,7.385272,7.449987,-0.159003,0.951902,-0.019231,-0.000545,0.049591,-0.275625,-0.086025,-0.134717,-0.156161,-0.076872,-0.06935,-0.079715,-0.327503,-0.007989,0.041,4.0,True,True,True,False,False,개별 변수 제거,False
LOFO-prod,계획생산량 제거,D1,43,11.294752,24.633138,0.865385,0.64133,130,21,8.285484,7.353017,23.432546,7.86299,5.683445,7.120432,7.716838,7.863644,0.288098,0.760374,0.019231,-0.001006,-0.17512,0.273922,-0.003988,0.701769,0.172834,0.145424,0.262217,0.333943,0.064387,0.526496,0.002,1.0,False,False,True,True,False,개별 변수 제거,False
LOFO-headcount,공장인원(정규화 공수) 제거,D1,43,11.182867,25.072981,0.820513,0.633663,120,28,8.197483,7.303203,23.197098,7.738297,5.659157,7.094092,7.719422,7.819827,0.176213,1.200218,-0.025641,-0.008672,-0.26312,0.224108,-0.239436,0.577075,0.148546,0.119083,0.264801,0.290126,-0.059823,0.421192,0.15,1.0,False,False,True,False,False,개별 변수 제거,False
LOFO-prod_chg_ratio,생산량 전일대비 변화율 제거,D1,43,10.992779,24.039849,0.788462,0.635659,108,33,8.423317,6.962004,23.350497,7.376021,5.42507,6.900322,7.314128,7.536015,-0.013875,0.167086,-0.057692,-0.006677,-0.037286,-0.117092,-0.086038,0.2148,-0.085541,-0.074686,-0.140493,0.006313,-0.151907,0.124942,0.859,3.0,False,True,True,False,False,개별 변수 제거,False
LOFO-prod_cum_day,일 누적생산량 제거,D1,43,11.463226,23.453506,0.782051,0.632124,108,34,8.08074,7.24055,23.064094,9.463667,5.162572,6.857103,7.152704,8.071693,0.456572,-0.419257,-0.064103,-0.010211,-0.379864,0.161454,-0.372441,2.302446,-0.348039,-0.117906,-0.301917,0.541991,-0.211797,1.497703,0.303,2.0,False,True,True,False,False,개별 변수 제거,False
LOFO-temp,기온 제거,D1,43,10.844844,24.18654,0.846154,0.642336,123,24,8.340013,6.951025,23.102047,7.023076,5.475295,6.859416,7.39364,7.43102,-0.16181,0.313777,0.0,0.0,-0.12059,-0.12807,-0.334487,-0.138145,-0.035316,-0.115593,-0.060982,-0.098682,-0.339831,0.024302,0.088,4.0,False,True,True,True,False,개별 변수 제거,False
LOFO-humid,습도 제거,D1,43,10.838042,23.21796,0.788462,0.634021,109,33,8.252003,7.044655,22.970929,6.972297,5.555083,6.814949,7.22159,7.344381,-0.168612,-0.654803,-0.057692,-0.008315,-0.2086,-0.03444,-0.465605,-0.188925,0.044472,-0.16006,-0.233031,-0.18532,-0.334845,-0.013773,0.032,3.0,True,True,True,False,False,개별 변수 제거,False
LOFO-wind,풍속 제거,D1,43,10.782012,24.050939,0.878205,0.647754,130,19,8.487901,6.946627,23.263452,6.746318,5.348848,6.892285,7.493944,7.393725,-0.224641,0.178176,0.032051,0.005418,0.027297,-0.132469,-0.173082,-0.414903,-0.161763,-0.082723,0.039322,-0.135976,-0.46464,-0.010656,0.038,4.0,True,True,True,True,True,개별 변수 제거,True
LOFO-rain,강수량 제거,D1,43,10.922348,24.257139,0.833333,0.654912,111,26,8.315704,6.930024,23.141818,7.185176,5.59237,6.929495,7.29288,7.529977,-0.084306,0.384375,-0.012821,0.012576,-0.144899,-0.149072,-0.294717,0.023955,0.081759,-0.045514,-0.161742,0.000276,-0.278205,0.107477,0.401,2.0,False,True,True,False,False,개별 변수 제거,False
LOFO-cdd,냉방도일 CDD 제거,D1,43,11.016232,23.779951,0.814103,0.639798,114,29,8.390059,7.079096,23.335417,7.289471,5.520435,6.930213,7.68724,7.549433,0.009578,-0.092812,-0.032051,-0.002537,-0.070545,0.0,-0.101118,0.12825,0.009824,-0.044796,0.232618,0.019732,-0.090431,0.117813,0.851,1.0,False,True,True,False,False,개별 변수 제거,False
LOFO-hdd,난방도일 HDD 제거,D1,43,10.972521,24.976225,0.820513,0.641604,115,28,8.470054,6.988994,23.423575,7.079213,5.55513,6.957884,7.746187,7.55657,-0.034133,1.103462,-0.025641,-0.000732,0.009451,-0.090101,-0.012959,-0.082008,0.044519,-0.017124,0.291566,0.026868,-0.206437,0.136799,0.708,3.0,False,True,True,False,False,개별 변수 제거,False
