,규칙,피크 발생조건,피크 확률,적용되는 시간 비율,n
0,R1,생산량 > 381.5 ∧ 시간 > 7.5 ∧ 시간 <= 16.5,0.556,20.25,259
1,R2,생산량 <= 381.5 ∧ 생산량 > 262.5 ∧ 기온 > 24.9,0.1905,1.64,21
2,R3,생산량 > 381.5 ∧ 시간 > 7.5 ∧ 시간 > 16.5,0.0575,6.8,87
